   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499302         55.6372     0.00758308        23.9798         5430.94      0.0445683        140.937        -2.16267     0.00964501        30.5002
    init         0.49938         56.2301     0.00748137        23.6582         5429.07      0.0442365        139.888         5.44117     0.00917861        29.0253
    init        0.499271         56.4639     0.00745779        23.5836         5427.12      0.0440864        139.413         2.31165     0.00899182        28.4346
    init        0.499326         54.9376     0.00776139        24.5437          5431.9      0.0445929        141.015        -3.29957      0.0103056        32.5892
    init        0.499344         54.2716     0.00795919        25.1692          5432.6      0.0446363        141.152        -4.37913      0.0112332        35.5226
    init        0.499315         53.8181     0.00796461        25.1863         5434.31      0.0445587        140.907        -8.48838      0.0107618        34.0317
    init        0.499386         53.2864     0.00797974        25.2341         5435.44      0.0447261        141.436          10.359       0.010966        34.6776
    init        0.499319         56.8425      0.0072855        23.0388          5426.9      0.0437109        138.226         1.69613     0.00781266        24.7058
    init         0.49934         52.6321     0.00818892        25.8956         5437.23      0.0451151        142.666        0.457879      0.0122077        38.6041
    init        0.499287         54.1607     0.00782695         24.751         5432.85      0.0443704        140.312         -1.0142      0.0106687        33.7375
    init        0.499394         48.9101     0.00866535        27.4022         5444.52      0.0453902        143.536        -3.23282      0.0143258        45.3021
    init        0.499412         55.1694     0.00769315        24.3279         5431.91      0.0447366         141.47        -3.31419     0.00995772        31.4891
    init        0.499368         55.8183     0.00755154        23.8801         5429.24      0.0441495        139.613         -2.0846     0.00932869        29.4999
    init        0.499333         54.9208     0.00778017        24.6031         5431.27      0.0446282        141.127        -1.09403      0.0102672        32.4677
    init        0.499329         54.1086     0.00793259         25.085         5433.06      0.0445719        140.949       -0.211968      0.0111224        35.1722
    init        0.499427         51.9322     0.00826032        26.1214         5439.53      0.0454299        143.662        -3.19113      0.0122339        38.6868
    init        0.499286         52.0688     0.00815934        25.8021         5438.74      0.0452009        142.938         3.76002      0.0123441        39.0356
    init        0.499305         54.7004     0.00786102        24.8587         5432.21      0.0444313        140.504        0.639045      0.0108033        34.1629
    init        0.499235         53.4027     0.00794049          25.11          5435.2      0.0448585        141.855         3.92908      0.0110755        35.0238
    init        0.499286         53.7947     0.00791165        25.0188          5434.6      0.0448462        141.816        -3.76215      0.0109616        34.6636
    init        0.499296         50.4454      0.0084726        26.7927         5441.37      0.0454315        143.667        0.574576      0.0135978        43.0001
    init         0.49931          56.946      0.0073307        23.1817         5425.85      0.0440065        139.161         1.91332     0.00838917        26.5289
    init        0.499414         56.0283     0.00748342        23.6646         5430.07      0.0445469         140.87         4.69209     0.00908986        28.7446
    init        0.499337         53.9277     0.00789519        24.9668         5434.21      0.0448271        141.756         -0.8366      0.0106671        33.7323
    init          0.4994         53.1723     0.00815946        25.8025         5435.61      0.0451231        142.692         7.89819      0.0118702        37.5369
    init        0.499366         52.2436     0.00830122        26.2508         5438.15      0.0450425        142.437         2.38195      0.0124481        39.3643
    init        0.499337         52.9903     0.00814299        25.7504         5436.06      0.0450807        142.558         2.05894      0.0118623        37.5118
    init        0.499247         54.3101     0.00787379        24.8991         5433.62      0.0451586        142.804        -4.46862      0.0106564        33.6985
    init         0.49936         55.6082     0.00765634        24.2115         5430.13       0.044707        141.376         3.08415      0.0096301        30.4531
